time,original,filtered
0.798000,-0.881678,0.540928
0.799000,-0.784545,0.285278
0.800000,0.000000,-0.000000
0.801000,0.784545,-0.285278
0.802000,0.881678,-0.540928
0.803000,0.515124,-0.742576
0.804000,0.475528,-0.872588
0.805000,1.000000,-0.918888
0.806000,1.426585,-0.875240
0.807000,1.102910,-0.744215
0.808000,0.293893,-0.539289
0.809000,-0.166511,-0.282626
0.810000,0.000000,0.000000
0.811000,0.166511,0.282626
0.812000,-0.293893,0.539289
0.813000,-1.102910,0.744215
0.814000,-1.426585,0.875240
0.815000,-1.000000,0.918888
0.816000,-0.475528,0.872588
0.817000,-0.515124,0.742576
0.818000,-0.881678,0.540928
0.819000,-0.784545,0.285278
0.820000,-0.000000,-0.000000
0.821000,0.784545,-0.285278
0.822000,0.881678,-0.540928
0.823000,0.515124,-0.742576
0.824000,0.475528,-0.872588
0.825000,1.000000,-0.918888
0.826000,1.426585,-0.875240
0.827000,1.102910,-0.744215
0.828000,0.293893,-0.539289
0.829000,-0.166511,-0.282626
0.830000,0.000000,-0.000000
0.831000,0.166511,0.282626
0.832000,-0.293893,0.539289
0.833000,-1.102910,0.744215
0.834000,-1.426585,0.875240
0.835000,-1.000000,0.918888
0.836000,-0.475528,0.872588
0.837000,-0.515124,0.742576
0.838000,-0.881678,0.540928
0.839000,-0.784545,0.285278
0.840000,0.000000,0.000000
0.841000,0.784545,-0.285278
0.842000,0.881678,-0.540928
0.843000,0.515124,-0.742576
0.844000,0.475528,-0.872588
0.845000,1.000000,-0.918888
0.846000,1.426585,-0.875240
0.847000,1.102910,-0.744215
0.848000,0.293893,-0.539289
0.849000,-0.166511,-0.282626
0.850000,-0.000000,0.000000
0.851000,0.166511,0.282626
0.852000,-0.293893,0.539289
0.853000,-1.102910,0.744215
0.854000,-1.426585,0.875240
0.855000,-1.000000,0.918888
0.856000,-0.475528,0.872588
0.857000,-0.515124,0.742576
0.858000,-0.881678,0.540928
0.859000,-0.784545,0.285278
0.860000,-0.000000,0.000000
0.861000,0.784545,-0.285278
0.862000,0.881678,-0.540928
0.863000,0.515124,-0.742576
0.864000,0.475528,-0.872588
